Time_s;PWM;Theta
0,0517688;35;0,016
0,0829688;35;1,932
0,1145872;35;6,046
0,1466168;35;9,508
0,1788536;35;13,696
0,2110928;35;18,228
0,2433352;35;22,766
0,2755752;35;27,796
0,3078144;35;33,086
0,3400536;35;39,19
0,3722944;35;45,572
0,404536;35;52,286
0,4367752;35;59,708
0,468981815;35;65,79
0,50121571;35;72,718
0,533449604;35;80,452
#¡REF!;35;81,1375
#¡REF!;35;83,4475
#¡REF!;35;86,15
